coding	meaning
167386009	Urine 17 ketogenic steroid lev
167394002	Urine pregnanediol 24h assay
269885005	Urine free testoster 24h assay
313968000	24h urine free adrenal output
78888000	Urine osmolality
8879006	24h urine creatinine output
14663000	Urine chloride level
63666004	Urine lead level
313457007	Urine MDEA level
313593006	24h urine adrenaline output
313929007	24h urine catecholamine output
2693007	Faecal fat level
69125006	CSF: glucose level
313526009	CSF lactate level
252931007	Mixed antiglob test for sperm
60923009	Synovial fluid cell count
27220002	Amniotic fluid AFP
104279004	Brucella serology
104287003	Legionella serology
104288008	Leptospira serology
104297007	Yersinia serology
397630008	Alpha-1-antitrypsin phenotype
69200006	Toxicology screening
315188003	Saturation iron binding capac
315102004	Cockatiel faecal antibody lev
259855002	HIV antibody level
398504002	CMV early antigen level
315130004	Hep B surface antibody level
315133002	Hepatitis B core antibody lev
315186004	Ross river fever antibody lev
315187008	Rubella (SRH) antibody
315072001	B. burgdorferi antibody level
315082000	Brucella CFT
315087006	C. trachomatis L2 antibody lev
315093003	Cat scratch fev antibody lev
315098007	Chlamydia psittaci antibod lev
315099004	Chlamydia trachomatis IgG lev
315104003	Coxiella burnet 2 antibody lev
315105002	Coxiella burnetii antibod lev
315119002	FTA (Abs) IgM level
315120008	Faen rectivirgula antibod lev
398489007	Legionella antigen level
315148008	Leptospiral MAT
315068000	Aspergill fumig 1 precip lev
315069008	Aspergill fumig 2 precip lev
398617009	Candida antigen level
315116009	E. histolytica antibody level
315195007	Taenia thalopophilus antib lev
315198009	Toxoplasma (ISAGA) IgM level
315111004	Dengue PCR
315137001	Herpes simplex PCR
315154009	Meningococcal PCR
315162001	Neisseria gonorrhoeae PCR
33747003	Blood glucose level
104332002	HIV p24 antigen level
134265006	T. pallidum reagin antibdy lev
134443008	Aspergill fumig 2 antibody lev
134452004	Trypanosom (S Amer) antib lev
398568001	CMV nucleic acid detection
398352008	B. burgdorf nucl acid detectn
398408001	Hantavirus nucl acid detectn
398443000	Herpes simplex nucl acid detec
398579006	HIV 1 nucleic acid detection
398381009	N. gonorrhoeae nucl acid detn
398454005	Toxoplasma nucleic acid detect
398614002	HTLV 2 nucleic acid detection
46325006	Hepatitis B e antigen level
58589004	Hepatitis C antigen level
398518009	Measles antigen level
391087007	Part thromboplast time ratio
397617007	von Willebrand factor activity
271510004	Haemoglobin S Level
390970002	Plasma TIBC
388728000	Pea RAST test
388489009	Garlic RAST Test
388476003	Penicylloyl G RAST test
388487006	Onion RAST test
392532001	Mosquito RAST test
388477007	Penicilloyl V RAST test
388812002	D. pteronyssinus RAST test
392435002	Parrot feathers RAST test
391314002	Serum anti-ganglioside M1 lev
391444003	Serum anti-ganglioside M2 lev
391445002	Ser anti-neuronal nucl ab lev
391571000	M4 mitochondrial ab (EIA) lev
391577001	M9 mitochondrial ab (EIA) lev
391432001	Parainfluenza type 2 ab level
391431008	Parainfluenza virus ab level
122231001	Pneumocystis carinii ag lev
121960004	Adenovirus antigen level
397674005	Pepper RAST test
388781008	Tuna fish RAST test
388810005	D. farinae RAST test
388571006	Cheddar cheese RAST test
388647008	Chicken RAST test
388674009	Lentil RAST test
388656000	Lobster RAST test
392402007	Cat epithelium RAST test
388477007	Penicillin V RAST test
388632004	Egg yolk RAST test
392473003	Formaldehyde RAST test
392504005	Isocyanate HD1 RAST test
775731000	Edetate (product)
392470000	Isocyanate M. RAST test
392505006	Ispaghula RAST test
392517008	Isocyanate TD1 RAST test
397646000	White fish RAST test
388730003	Apricot RAST test
388684005	Malt RAST test
392434003	Mouse urine RAST test
388540002	Mustard RAST test
388545007	Paprika RAST test
392438000	Pigeon faeces RAST test
388767006	Pork RAST test
392312001	Rape RAST test
388703008	Rice RAST test
388686007	Mango RAST test
397667000	Raspberry RAST test
388476003	Penicillin G RAST test
391316000	Serum ANA level
391394003	Se anti-skel musc ab lev
104377000	Anti-gliadin IgA level
104378005	Anti-gliadin IgG level
391583003	Perinuc neutroph cytopl ab lev
359788000	Anti-nuclear factor level
122048000	Mycoplasma pneumoniae ab lev
391554001	Plasma parathyroid hormone lev
390978009	Ser alk phos placent enzym lev
391322009	Blood immunoreact trypsin lev
391407003	Blood eryth PBG deaminase lev
391456002	Ser tiss transglutaminase lev
391453005	Ser dihydropyrim dehydrog lev
390979001	Serum alk phos electrophoresis
271548009	Alk phos-liver isoenzyme level
390961000	Plasma ALT level
81245000	Serum manganese level
391448000	Ser C26/C22 long chain FA lev
23529001	Blood mercury level
391395002	Blood oxygen saturation (calc)
391396001	Blood total CO2 (calculated)
391446001	Pl androstenedione/testost rat
391409000	Se testo/dihydrotestost ratio
391440007	Bld (WBC) scr b-mannosidosis
391441006	Bld (WBC) scr I cell disease
391531005	Bld (WBC) scr inf neur lipofus
391580000	Bld (WBC) scr met leukodystr
391313008	Bld (WBC) scr Sandhoff dis
391377000	Serum galactose-1-phosph level
390947005	24 hr urine normetadre output
390976008	Urine cortisol/creatinin ratio
391091002	Urine metadrenalin/creat ratio
391540009	24hr urine aldosterone output
81341007	Urine cadmium level
391359005	24hr urine porphobilinogen out
397605005	Urin N-telopeptide cross links
390944003	24 hour urine HVA output
391373001	24hr urine delta ALA output
390954004	CSF: ACE level
391426006	Bone marrow aspirate exam
391578006	Oral fluid benzodiazepine leve
104720004	Unstable haemoglobin level
395059005	Haemoglobinopathy screen test
394883009	Collag/epin platelet func test
395068007	KCT Rosner index
46215003	Antibody to ENA typing
388525004	Beef RAST test
388754008	Rye RAST test
392339009	Goldenrod RAST test
392349007	Birch RAST test
395145001	Free PSA level
121981004	Cryptosporidia antigen level
394980006	Phospholipid antib screen test
394981005	HEp-2 cell autoanb screen test
104324005	Parvovirus antibody level
398503008	Varicella zoster nucl acid det
388696003	Blue mussel RAST test
388638000	Buckwheat RAST test
397728001	Cockroach RAST test
392478007	Alternaria alternata RAST test
392408006	Cow dander RAST test
397650007	Helminthosp halodes RAST test
392375006	Sycamore (London Pl) RAST test
394986000	Anti-nuclear IgG antibody lev
395037008	Thyroid stimulating antib lev
395190005	Campylobact jejuni IgA ab lev
395134004	DHEAS level
395223007	Plas aldosterone recumbent lev
395066006	Serum alpha-2 macroglobul lev
395065005	Calculated LDL cholesterol lev
394957003	Mix venous carbon dioxide lev
394961009	Squam cell carcinoma antig lev
395063003	Urine cortisol derivative lev
395227008	Urine bisacodyl metabolite lev
394951002	24 hr urin 3-methoxytyram outp
394952009	Urin 3-methoxytyram/crea ratio
397662006	Hepatitis C virus genotype
62302004	DNA studies
388536006	Broccoli RAST test
388651005	Gluten RAST test
103800002	Coag pathway factor assay
37254006	Mean cell Hb concentration
90735005	One stage prothrombin time
15356000	Plasma ristocetin cofactor lev
165600005	Dilut Russell viper ven ratio
165670009	Red cell Hb A2 estimation
359788000	Anti-nuclear factor level
44628004	Serum osmolality
166841005	Ser random LDL cholesterol lev
14830009	Urine electrolyte levels
312366003	Extractable nuclear antign lev
19518008	24 hour urine protein exc test
165511009	Diff white blood cell count
269829001	Trepon pallidum haemaglut test
71100000	Factor VIII rela antigen level
35793002	Kleihauer test
104909005	Red cell protoporphyrin level
104909005	Red cell protoporphyrin level
165813002	Human immunodefic virus test
54921001	Rheumatoid factor level
313805001	Skin base memb antibody level
313692006	C3 nephritic factor level
88159009	Hepatitis A IgM level
392548000	Ant RAST test
388693006	Banana RAST test
392413005	Dog epithelium RAST test
250515004	Epstein-Barr virus ab titre
104285006	Helico pylori antibody level
397649007	Penicillin RAST test
392523003	Seminal fluid RAST test
388644001	Strawberry RAST test
313659000	HLA antibody level
118092009	Myeloperoxidase antibody level
313839002	Plasma free triiodothyron lev
313892009	120 min plasma prolactin level
313887007	90 min serum prolactin level
313723003	90 min plasma cortisol level
59478003	VIP - vasoact intest polyp lev
313856005	Serum conj bilirubin level
88810008	Alkaline phosphatase level
313843003	Ser alk phos liver enzyme lev
313960007	Ser hydroxybut dehydrog level
313822004	Cor serum creatinine level
313756002	Plasma 25-HO vit D3 level
250743005	Hi dens/low dens lipoprt ratio
76061000	Blood cyanide level
313872002	Serum free beta HCG level
313767001	Plasma apolipoprot A-I level
312473009	Blood inorgan phosphate level
313764008	Porphobilinog/creatinine ratio
314082007	Urine cannabinoids screen test
314104009	Urine amphetamine screen test
313980008	Urine MDMA level
313450009	Faecal reducing substance lev
313773000	CSF albumin level
45516006	Pleural fluid amylase
138875005	31.5.0_20210317000001 UK drug extension
138875005	31.5.0_20210317000001 UK drug extension
313956009	Fluid LDH level
135804007	Thermoactinomyc thaloph ab lev
398452009	Chlam trach nucleic acid detn
398513000	Hep C nucleic acid detection
398505001	Enterovirus DNA detection
392427000	Guinea pig epit RAST test
390965009	RSV antibody level
388590003	Hazelnut RAST test
388587009	Coconut RAST test
388690009	Cow's milk RAST test
392416002	Duck feather RAST test
391318004	Se Purkinje cell cyt antib lev
391548002	Glut acid decarboxylase ab lev
390980003	Ser alk phos intestin enzy lev
391323004	Serum C26 long chain FA level
45074006	Blood arsenic level
391401002	Deoxypyridinoline/creat ratio
391312003	Bld (WBC) scrn a-mannosidosis
391442004	Bld (WBC) scr MPS type VII
391506009	Urine DHA sulphate level
390946001	24 hr urine metadren output
391411009	Urine monoacetyl morphine lev
395221009	Serum rheumatoid antibody lev
388733001	Peach RAST test
392305005	Mugwort RAST test
394977005	Nuclear autoantib screen test
398479008	Aspergillus nucleic acid detec
395191009	Campylobact jejuni IgG ab lev
395195000	Chlamydia trachomatis IgA lev
104133003	Mean cell volume
9915003	Plasma factor X level
165596000	Plasma factor XIII screen test
60306005	Serum folate level
50744001	Anti-smooth musc autoantib lev
104376009	Anti-gliadin antibody level
42441008	Immunoglobulin level
166589006	Serum ACE level
20109005	Serum electrolyte levels
54610007	Renal profile
166838001	Serum fast HDL cholesterol lev
166920000	2 hour post-prand blood gluc
8655006	Blood lead level
167065002	Serum fasting lipprotein level
167805004	Total normal and motile sperm
88820003	Urine aldosterone level
269861002	Electrophoresis: gamm globulin
67241009	Fibrin degradation prod level
49151003	Factor II level
11078007	Prekallikrein level
54207009	von Willebrand factor level
54937007	Methaemoglobin level
42431005	Nitroblue tetrazolium test
312457003	Irreg blood grp antibody pres
17164004	Thyroglobulin autoantibodies
122224000	ACH receptor antibody level
87978006	dsDNA binding autoantibody lev
104355004	Haem complem (CH50) level
50506008	Anti HBc IgM level
79627000	IgG subclass 1 level
27083005	IgG subclass level
392519006	Abachi wood RAST test
388775000	Chocolate RAST test
392411007	Dog dander RAST test
388485003	Kiwi fruit RAST test
122339001	H influenzae B antibody level
313942007	Hel pylori IgG antibody level
392552000	Potato RAST test
388708004	Shrimp RAST test
388790001	Wheat RAST test
117263002	Ganglioside antibody level
314093009	Indrct plat antbdy screen test
171239004	Rheum arthritis screening test
313890001	60 min plasma prolactin level
313503002	Ser 5-alpha-dihydrotestost lev
313906004	180 min serum cortisol level
313958005	Plas 17alphahydroxyprogest lev
313833001	Plasm arginine vasopressin lev
313973006	Plas gastr inhib peptide level
313506005	Duod fluid chymotrypsin level
89659001	Serum amylase level
104553007	Unconjugated bilirubin level
313846006	Plas alk phos bone enzyme lev
313961006	Plas hydroxybut dehydrog level
63571001	Serum magnesium level
313829008	Serum VLCFA level
167028004	Arterial partial press CO2
314069004	Plasma free beta HCG MoM
314077000	Drug abuse urine screen test
252268000	Ammonium chloride acidif test
313552003	24h urine noradrenalin output
29518009	Urine citrate level
84130004	CSF: protein level
68297005	Amniotic fluid L/S ratio
87407009	Aspergillus serology
315165004	Paraprotein typing immunofix
315131000	Hep B surface antigen level
315095005	Chlamydia group CFT
315118005	FTA (Abs) IgG level
315100007	Chlamydia trachomatis PCR
398501005	Herpes simplex antigen (EIA)
134442003	Aspergill fumig 1 antibody lev
398560008	Dengue nucleic acid detection
398378004	HTLV 1 nucleic acid detection
122350003	Influenza B antigen level
391393009	P falciparum slide test
388607001	Melon RAST test
388510004	Oat RAST test
391443009	Ser anti-glut decarboxlase lev
391538004	Parainfluenza type 3 ab level
388631006	Egg white RAST test
392513007	Phthalic anhydride RAST test
392520000	Cotton fibres RAST test
392448003	Rat urine RAST test
65946008	Anti-cardiolipin antibody lev
391543006	Bld thiopur methtransfase lev
271052004	Alk phosph - bone isoenz level
391551009	Serum ionized Ca (pH 7.4) lev
391447005	Ser C24/C22 long chain FA lev
269862009	Serum amino acid level
391533008	Bld (WBC) scr Krabbe leukodys
391473000	Bld (WBC) scr Schindler dis
391424009	Plasma desmethdothiepin level
391356003	24hr urine androstenedione out
391372006	24h urin homvanmand acid outpt
397602008	Calculus magnesium content
75332002	Clostr difficile toxin lev
394976001	Rheumatoid factor screen test
395146000	Free:total PSA ratio
398468003	Hep B nucleic acid detection
46215003	Extract nucl antig antib level
395128006	Plasma aldosteron ambulant lev
391439005	Bld (WBC) scr a-fucosidosis
395040008	Urine methadone metabolite lev
104109009	Cell count, cerebrospin fluid
30521008	Parietal cell autoantib level
166587008	Serum beta 2 microglobulin lev
167083005	Plasma rndm triglyceride level
165888004	Anti-haemoglob antibody level
54495009	TSH receptor antibody level
313586007	EBV capsid IgG level
392475005	Latex RAST test
117855005	Parvovirus B19 antibody level
388742008	Salmon RAST test
313836009	Serum free triiodothyronin lev
313976003	210 min plasma cortisol level
313784007	Tart labile ser acid phos lev
313844009	Plas alk phos liver enzyme lev
313969008	24h urine free noradren output
313824003	24 hour urine 5HIAA output
36478006	Amniotic fluid cholinesterase
134256004	C. trachomatis IgM level
122349003	Influenza A antigen level
391451007	Ser volt-gated Ca chan ab lev
392432004	Mouse epithelium RAST test
391090001	Urine normetadren/creat ratio
397626005	Calculus carbonate content
395038003	Total anticardiolipn antib lev
394985001	Anti-nuclear IgM antibody lev
88040009	Plasma factor XI level
165604001	Plasma act prot C resistance
66842004	Red blood cell distribut width
165874003	Serum indir platelet ab screen
78304005	Gonadotrophin level
20563000	Serum oestriol level
69480007	Gamma-glutamyl transferase lev
45896001	Aspartate transaminase level
167070009	Plasma random lipopr level
167072001	Plasma rndm HDL cholest level
168475009	Human leuc antigen B27 screen
167381004	Urine luteinising hormon level
59260005	Ro antibody level
271052004	Alk phosph - bone isoenz level
313456003	Haemoglob acid electrophoresis
51805009	Transferrin saturation index
314090007	Sickle cell dis screening test
82703001	Antistreptolysin O ab titre
165887009	Reticulin R1 autoab titre
43872009	Centromere antibody level
104397005	Salivary gland antibody level
367349006	CMV IgM level
13070009	Hepatitis A IgG level
313928004	Budgerigar RAST test
388630007	Egg RAST test
397673004	House dust mite RAST test
313643000	EB virus IgM antibody level
388652003	Soya bean RAST test
392287001	Timothy grass RAST test
64135003	Islet cell antibody level
314091006	Blood group antbdy screen test
313891002	90 min plasma prolactin level
313912009	120 min serum prolactin level
273971007	Serum FSH level
313719006	120 min plasma cortisol level
313853002	Plasma unconj bilirubin level
313842008	Serum unconj bilirubin level
313850004	Plasma gamma GT level
313855009	Plasma LDH level
313521004	Serum 1,25-diHO vit D3 level
313826001	Plasma VLCFA level
314070003	Serum free beta HCG MoM
72191006	Plasma glucose level
104589004	Blood chloride level
313533009	Urine porph/creatinine ratio
314105005	Ur phenothiazine screen test
32375007	Urine myoglobin level
167395001	Urine pregnanetriol 24h assay
313970009	24h urine free dopam output
104109009	Cerebrospin fluid cell content
117611001	Semen liquefaction time
164791003	Helicobacter pylor breath test
168384005	CLO test helicobacter pylori
315073006	B. pertussis antibody level
